impactIndicatorId,impactMethodName,impactCategoryName,impactName,unitName,amount
a831c91f-8585-4eb1-9fd7-c1572641766e,EF v3.0 no LT,climate change: biogenic no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.1923418664877846
c2fea617-d15b-489f-9766-8dcc15264a64,EF v3.0 no LT,climate change: fossil no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.07121629302032875
c326868d-45d9-47a7-8606-fbeaeee25a64,EF v3.0 no LT,climate change: land use and land use change no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.00010718168309644253
819796fd-389f-491f-8d99-54df3f8d288f,EF v3.0 no LT,ecotoxicity: freshwater no LT,comparative toxic unit for ecosystems (CTUe) no LT,CTUe,2.656355657993371
96c5dcdd-dd80-47ae-9038-a8be63afad8f,EF v3.0 no LT,"ecotoxicity: freshwater, inorganics no LT",comparative toxic unit for ecosystems (CTUe) no LT,CTUe,0.8129435771978157
62b80ae3-00a8-4618-93c1-931385bb51d5,EF v3.0 no LT,"ecotoxicity: freshwater, metals no LT",comparative toxic unit for ecosystems (CTUe) no LT,CTUe,1.5669877729345736
d38460b2-2d8f-4286-84e1-4a508a5597b6,EF v3.0 no LT,"ecotoxicity: freshwater, organics no LT",comparative toxic unit for ecosystems (CTUe) no LT,CTUe,0.27642430786097916
39523b9b-a47d-4221-8c01-74038d4f07b3,EF v3.0 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,"MJ, net calorific value",0.5062320032619648
b3480b12-7eb7-489b-9041-20549455f485,EF v3.0 no LT,eutrophication: freshwater no LT,fraction of nutrients reaching freshwater end compartment (P) no LT,kg P-Eq,1.8029732976090005E-06
cb275952-9e2d-4093-916d-62ecb4d9179b,EF v3.0 no LT,eutrophication: marine no LT,fraction of nutrients reaching marine end compartment (N) no LT,kg N-Eq,0.00010409077382892347
52578fbf-6cd7-4942-a669-e1806ec63e99,EF v3.0 no LT,eutrophication: terrestrial no LT,accumulated exceedance (AE) no LT,mol N-Eq,0.004462082825544007
e628278c-eab7-4993-aae0-e9119f7c6186,EF v3.0 no LT,human toxicity: carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,CTUh,9.99167776026548E-10
84739be4-3009-4dae-9814-e4cb2496f0dd,EF v3.0 no LT,"human toxicity: carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,0.0
c90c3def-c200-4e96-834f-981af85f2fae,EF v3.0 no LT,"human toxicity: carcinogenic, metals no LT",comparative toxic unit for human (CTUh) no LT,CTUh,1.203445892828842E-11
57410f50-9279-4e52-8122-3f09874046fb,EF v3.0 no LT,"human toxicity: carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,9.87133317098259E-10
4bd1bbc8-b959-40f2-a169-b341cea2a2b8,EF v3.0 no LT,human toxicity: non-carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,CTUh,1.6318282978734117E-09
fff97ea0-ff89-4475-b382-17ecea16b240,EF v3.0 no LT,"human toxicity: non-carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,4.504507759987959E-10
810a53db-7673-43d5-8c36-fa61945b9a05,EF v3.0 no LT,"human toxicity: non-carcinogenic, metals no LT",comparative toxic unit for human (CTUh) no LT,CTUh,8.568897683481847E-10
44e5a6c6-1bc1-4627-81c0-a6edb46fe7be,EF v3.0 no LT,"human toxicity: non-carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,3.395194071316387E-10
d42a2a42-a3f4-4acd-8369-cb17e29668f6,EF v3.0 no LT,ionising radiation: human health no LT,human exposure efficiency relative to u235 no LT,kBq U235-Eq,0.0005997191118731298
9bc8b2cc-751c-4082-868a-8a75f5b43124,EF v3.0 no LT,land use no LT,soil quality index no LT,dimensionless,1.7169519775150104
3501fb86-6565-4bd7-86f7-7d899da9b5c5,EF v3.0 no LT,material resources: metals/minerals no LT,abiotic depletion potential (ADP): elements (ultimate reserves) no LT,kg Sb-Eq,7.980262606067527E-07
06b3f6f6-b061-4040-ace6-c2cf5693fc3d,EF v3.0 no LT,ozone depletion no LT,ozone depletion potential (ODP) no LT,kg CFC-11-Eq,4.785987973316595E-10
906bc131-d0ab-44be-aeba-cf72a9eae864,EF v3.0 no LT,particulate matter formation no LT,impact on human health no LT,disease incidence,1.098568633447718E-08
5ed398b6-48bd-4327-8853-c9b908855870,EF v3.0 no LT,photochemical oxidant formation: human health no LT,tropospheric ozone concentration increase no LT,kg NMVOC-Eq,0.00035928729635201857
d64aec8a-8a72-491d-a8d3-6fb1419fc854,EF v3.0 no LT,water use no LT,user deprivation potential (deprivation-weighted water consumption) no LT,m3 world Eq deprived,0.010679215498031485
28a96c58-e913-4a6f-b007-87204806c70b,EF v3.1,acidification,accumulated exceedance (AE),mol H+-Eq,0.0011703236811728421
6d85469e-cb4b-430d-8dbf-d83a3ce07c22,EF v3.1,climate change,global warming potential (GWP100),kg CO2-Eq,0.22068966995755715
87ce6e5b-4e30-4eda-a1fb-014cc3c18db7,EF v3.1,climate change: biogenic,global warming potential (GWP100),kg CO2-Eq,0.1527420704461819
bbdbca96-2d5e-4347-9305-7d7b4bf8f225,EF v3.1,climate change: fossil,global warming potential (GWP100),kg CO2-Eq,0.067842233986449
6f6a4f26-0293-4594-adff-019560c7c50b,EF v3.1,climate change: land use and land use change,global warming potential (GWP100),kg CO2-Eq,0.00010536552492620949
c304cfe1-f5a7-43ba-bab2-22a2ac7a79d6,EF v3.1,ecotoxicity: freshwater,comparative toxic unit for ecosystems (CTUe),CTUe,1.2051781791007283
2b5cfa69-c109-442f-8f87-74d95d22be45,EF v3.1,"ecotoxicity: freshwater, inorganics",comparative toxic unit for ecosystems (CTUe),CTUe,0.9253023358341828
9c4ce94d-3d1f-4ee0-9039-72144aa8ca24,EF v3.1,"ecotoxicity: freshwater, organics",comparative toxic unit for ecosystems (CTUe),CTUe,0.27987584326654963
e4ee3a59-f7b1-4309-a4f0-5fc015602c5a,EF v3.1,energy resources: non-renewable,abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.5062320032619648
b1a36ca6-0b16-498f-a9c8-50db2c9084d4,EF v3.1,eutrophication: freshwater,fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,1.205765240793773E-05
f8975238-4136-4d7d-b975-d7de99c60599,EF v3.1,eutrophication: marine,fraction of nutrients reaching marine end compartment (N),kg N-Eq,0.00010558624609374732
ce5e8845-bc58-4de2-ad94-9abf66852b3f,EF v3.1,eutrophication: terrestrial,accumulated exceedance (AE),mol N-Eq,0.0044620941836843765
65a20b7c-61cf-4ede-8c26-18674dc980e3,EF v3.1,human toxicity: carcinogenic,comparative toxic unit for human (CTUh),CTUh,9.991686916432155E-10
b04006fb-2a92-4e28-8cb7-98ea718898c0,EF v3.1,"human toxicity: carcinogenic, inorganics",comparative toxic unit for human (CTUh),CTUh,1.203445892828842E-11
23e2dfdf-6a58-48e8-badf-da58aa044422,EF v3.1,"human toxicity: carcinogenic, organics",comparative toxic unit for human (CTUh),CTUh,9.871342327149266E-10
1f085aa5-291d-497a-b15c-fa08d61d7843,EF v3.1,human toxicity: non-carcinogenic,comparative toxic unit for human (CTUh),CTUh,1.1972414507385945E-09
b97fc070-d5ec-48f1-83f4-43a17e738c41,EF v3.1,"human toxicity: non-carcinogenic, inorganics",comparative toxic unit for human (CTUh),CTUh,8.577092676066464E-10
ff6c33ce-a0a1-4cac-a260-6ed06f1c9ebd,EF v3.1,"human toxicity: non-carcinogenic, organics",comparative toxic unit for human (CTUh),CTUh,3.395321831319475E-10
0fb2572d-6678-4fa6-9f1f-e7c7fa36a162,EF v3.1,ionising radiation: human health,human exposure efficiency relative to u235,kBq U235-Eq,0.0016011804915858146
1ea16ca2-3ec7-4405-8365-dcaafbc0a312,EF v3.1,land use,soil quality index,dimensionless,1.7169519775150104
58033092-c1da-4633-9d62-95fb14d21eed,EF v3.1,material resources: metals/minerals,abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,7.980262606067527E-07
53cc24ba-e1b8-457b-bee1-2c178b91a791,EF v3.1,ozone depletion,ozone depletion potential (ODP),kg CFC-11-Eq,4.785987973316595E-10
9002bb26-3688-4bc0-999a-d952e9798c67,EF v3.1,particulate matter formation,impact on human health,disease incidence,1.1003172486926586E-08
ee66b76e-71ca-46f2-81d8-d079cc783ecf,EF v3.1,photochemical oxidant formation: human health,tropospheric ozone concentration increase,kg NMVOC-Eq,0.0003592872967806423
8c6f596e-f515-442d-9172-82956c5e19b5,EF v3.1,water use,user deprivation potential (deprivation-weighted water consumption),m3 world Eq deprived,0.010679215498031485
26932cc8-689d-4115-9b53-0681cc1b7f95,EF v3.1 no LT,acidification no LT,accumulated exceedance (AE) no LT,mol H+-Eq,0.001170323672262489
f7ea5ee8-f034-4b92-8922-c64f87c90925,EF v3.1 no LT,climate change no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.22068966940034632
fb03f7e1-348c-4fae-bb47-b742b67f4c53,EF v3.1 no LT,climate change: biogenic no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.1527420704461819
606bc6df-9b64-4fff-848c-f6bc43521719,EF v3.1 no LT,climate change: fossil no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.06784223342923815
a5b181c1-c7cb-4d4a-a6ec-c191a627085d,EF v3.1 no LT,climate change: land use and land use change no LT,global warming potential (GWP100) no LT,kg CO2-Eq,0.00010536552492620949
878d2042-12b1-4677-9e06-fb96dfaa3814,EF v3.1 no LT,ecotoxicity: freshwater no LT,comparative toxic unit for ecosystems (CTUe) no LT,CTUe,1.2051781791007283
44edf036-d00d-41c6-b76f-b23ca49474fd,EF v3.1 no LT,"ecotoxicity: freshwater, inorganics no LT",comparative toxic unit for ecosystems (CTUe) no LT,CTUe,0.9253023358341828
23619ebc-a4af-4be9-b295-2fd5851ef216,EF v3.1 no LT,"ecotoxicity: freshwater, organics no LT",comparative toxic unit for ecosystems (CTUe) no LT,CTUe,0.27987584326654963
b0a38ddf-f9f4-497c-9242-652e20d9e472,EF v3.1 no LT,energy resources: non-renewable no LT,abiotic depletion potential (ADP): fossil fuels no LT,"MJ, net calorific value",0.5062320032619648
b5fbc39e-0ebb-484a-971b-e8d210909e80,EF v3.1 no LT,eutrophication: freshwater no LT,fraction of nutrients reaching freshwater end compartment (P) no LT,kg P-Eq,1.8029732976090005E-06
89d271c8-0a1c-4978-a6a6-a68de44d748f,EF v3.1 no LT,eutrophication: marine no LT,fraction of nutrients reaching marine end compartment (N) no LT,kg N-Eq,0.00010409077382892347
c0577fa1-66be-4107-8f79-6e9fac0d7406,EF v3.1 no LT,eutrophication: terrestrial no LT,accumulated exceedance (AE) no LT,mol N-Eq,0.004462082825544007
4346c4cd-0afd-466c-afef-48b3e8178877,EF v3.1 no LT,human toxicity: carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,CTUh,9.991686916432155E-10
c118797b-9e09-4164-b14f-8edbc26ff385,EF v3.1 no LT,"human toxicity: carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,1.203445892828842E-11
facbf17c-8058-479b-8360-040672f9b735,EF v3.1 no LT,"human toxicity: carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,9.871342327149266E-10
11beb0e7-bc11-4ef4-a1c5-499791b29eb1,EF v3.1 no LT,human toxicity: non-carcinogenic no LT,comparative toxic unit for human (CTUh) no LT,CTUh,1.1972414507385945E-09
b98a89db-45e0-46ab-b4e0-86442a6030f0,EF v3.1 no LT,"human toxicity: non-carcinogenic, inorganics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,8.577092676066464E-10
52fbf3f0-fa1a-4ceb-8b41-21401997b6bd,EF v3.1 no LT,"human toxicity: non-carcinogenic, organics no LT",comparative toxic unit for human (CTUh) no LT,CTUh,3.395321831319475E-10
f3b11a9b-a933-431e-b851-e7ece0856d3d,EF v3.1 no LT,ionising radiation: human health no LT,human exposure efficiency relative to u235 no LT,kBq U235-Eq,0.0005997191118731298
2716745f-0541-4e79-8dcc-df6aac71903d,EF v3.1 no LT,land use no LT,soil quality index no LT,dimensionless,1.7169519775150104
384b58f1-3f55-4480-b2d6-eea4d1cb9088,EF v3.1 no LT,material resources: metals/minerals no LT,abiotic depletion potential (ADP): elements (ultimate reserves) no LT,kg Sb-Eq,7.980262606067527E-07
f5297188-21e5-4e0b-9580-6240d98326ec,EF v3.1 no LT,ozone depletion no LT,ozone depletion potential (ODP) no LT,kg CFC-11-Eq,4.785987973316595E-10
c1ad9077-c60a-4a77-933a-70ef1ed29f60,EF v3.1 no LT,particulate matter formation no LT,impact on human health no LT,disease incidence,1.098568633447718E-08
1620f842-98e0-4235-910c-c66785ec7a41,EF v3.1 no LT,photochemical oxidant formation: human health no LT,tropospheric ozone concentration increase no LT,kg NMVOC-Eq,0.00035928729635201857
cbcc1104-3f2a-4427-893f-2c58572f27b6,EF v3.1 no LT,water use no LT,user deprivation potential (deprivation-weighted water consumption) no LT,m3 world Eq deprived,0.010679215498031485
67c205e7-5b41-47cd-bfad-7269d5a399a2,EPS 2020d,emissions to air,monetary impact value,EUR 2018,0.05469246885488696
91c8cb54-252a-4c32-b15f-2fe1499e3eaa,EPS 2020d,emissions to soil,monetary impact value,EUR 2018,3.643845619560796E-07
76fb1c29-00c4-4f44-9ee8-dcc905a664b2,EPS 2020d,emissions to water,monetary impact value,EUR 2018,0.0035905332641861035
a6987fc4-680c-4c3e-b3de-d85ec371adb6,EPS 2020d,"energy resources: non-renewable, fossil",monetary impact value,EUR 2018,0.007597869902949901
9c01aff9-b978-432a-97dd-f864b2e3af09,EPS 2020d,land use,monetary impact value,EUR 2018,0.015148622714903767
a974b8b6-5f7c-49bc-b559-85f27d1e7c40,EPS 2020d,material resources: metals,monetary impact value,EUR 2018,0.21544856859721978
f4b9590f-8104-4485-8a4a-bfff0bb7fa00,EPS 2020d,total,monetary impact value,EUR 2018,0.2964784277187084
acfe9825-0b81-45ae-a5ba-6b898b023367,EPS 2020d no LT,emissions to air no LT,monetary impact value no LT,EUR 2018,0.05467810412928753
d19f840f-ff36-4061-9db9-ae5daa095ce8,EPS 2020d no LT,emissions to soil no LT,monetary impact value no LT,EUR 2018,3.643845619560796E-07
c90fe501-1dc5-4bd3-ae2f-7b67310e6d7f,EPS 2020d no LT,emissions to water no LT,monetary impact value no LT,EUR 2018,0.00010076165371333277
f396625b-597f-4af7-b2c2-7124627f6387,EPS 2020d no LT,"energy resources: non-renewable, fossil no LT",monetary impact value no LT,EUR 2018,0.007597869902949901
d1c55e45-4318-483c-8ce7-8e35902ae8b3,EPS 2020d no LT,land use no LT,monetary impact value no LT,EUR 2018,0.015148622714903767
f8a790e7-b535-481e-9dbf-e358581ad8df,EPS 2020d no LT,material resources: metals no LT,monetary impact value no LT,EUR 2018,0.21544856859721978
